Random seed set to: 456

Demands:
D(m1, t=1, ('l1', 'k1')) = 7.5
D(m6, t=2, ('l2', 'k5')) = 8.2
D(m7, t=1, ('l1', 'k1')) = 9.2
D(m7, t=1, ('l1', 'k2')) = 10.7
D(m7, t=1, ('l1', 'k3')) = 12.0
D(m7, t=1, ('l1', 'k4')) = 5.3
D(m7, t=1, ('l1', 'k5')) = 5.1
D(m7, t=1, ('l2', 'k1')) = 12.5
D(m7, t=1, ('l2', 'k2')) = 14.7
D(m7, t=1, ('l2', 'k3')) = 7.9
D(m7, t=1, ('l2', 'k4')) = 14.4
D(m7, t=1, ('l2', 'k5')) = 10.9
D(m7, t=2, ('l1', 'k1')) = 6.4
D(m7, t=2, ('l1', 'k2')) = 5.9
D(m7, t=2, ('l1', 'k3')) = 11.3
D(m7, t=2, ('l1', 'k4')) = 10.0
D(m7, t=2, ('l1', 'k5')) = 10.2
D(m7, t=2, ('l2', 'k1')) = 11.3
D(m7, t=2, ('l2', 'k2')) = 7.3
D(m7, t=2, ('l2', 'k3')) = 7.6
D(m7, t=2, ('l2', 'k4')) = 10.6
D(m7, t=2, ('l2', 'k5')) = 8.9
D(m8, t=1, ('l1', 'k1')) = 12.1
D(m8, t=1, ('l1', 'k2')) = 7.1
D(m8, t=1, ('l1', 'k3')) = 7.9
D(m8, t=1, ('l1', 'k4')) = 13.5
D(m8, t=1, ('l1', 'k5')) = 9.6
D(m8, t=1, ('l2', 'k1')) = 5.7
D(m8, t=1, ('l2', 'k2')) = 13.6
D(m8, t=1, ('l2', 'k3')) = 9.2
D(m8, t=1, ('l2', 'k4')) = 10.2
D(m8, t=1, ('l2', 'k5')) = 11.5
D(m8, t=2, ('l1', 'k1')) = 8.7
D(m8, t=2, ('l1', 'k2')) = 14.9
D(m8, t=2, ('l1', 'k3')) = 7.8
D(m8, t=2, ('l1', 'k4')) = 11.8
D(m8, t=2, ('l1', 'k5')) = 10.5
D(m8, t=2, ('l2', 'k1')) = 10.3
D(m8, t=2, ('l2', 'k2')) = 5.1
D(m8, t=2, ('l2', 'k3')) = 12.6
D(m8, t=2, ('l2', 'k4')) = 7.0
D(m8, t=2, ('l2', 'k5')) = 12.4
D(m9, t=1, ('l1', 'k1')) = 6.1
D(m9, t=1, ('l1', 'k2')) = 9.5
D(m9, t=1, ('l1', 'k3')) = 7.8
D(m9, t=1, ('l1', 'k4')) = 7.1
D(m9, t=1, ('l1', 'k5')) = 8.7
D(m9, t=1, ('l2', 'k1')) = 13.0
D(m9, t=1, ('l2', 'k2')) = 5.9
D(m9, t=1, ('l2', 'k3')) = 11.6
D(m9, t=1, ('l2', 'k4')) = 7.2
D(m9, t=1, ('l2', 'k5')) = 9.6
D(m9, t=2, ('l1', 'k1')) = 11.2
D(m9, t=2, ('l1', 'k2')) = 6.6
D(m9, t=2, ('l1', 'k3')) = 14.3
D(m9, t=2, ('l1', 'k4')) = 11.5
D(m9, t=2, ('l1', 'k5')) = 10.6
D(m9, t=2, ('l2', 'k1')) = 10.4
D(m9, t=2, ('l2', 'k2')) = 12.4
D(m9, t=2, ('l2', 'k3')) = 14.4
D(m9, t=2, ('l2', 'k4')) = 7.7
D(m9, t=2, ('l2', 'k5')) = 5.5
D(m10, t=1, ('l1', 'k1')) = 6.7
D(m10, t=1, ('l1', 'k2')) = 9.9
D(m10, t=1, ('l1', 'k3')) = 12.1
D(m10, t=1, ('l1', 'k4')) = 10.2
D(m10, t=1, ('l1', 'k5')) = 7.2
D(m10, t=1, ('l2', 'k1')) = 7.3
D(m10, t=1, ('l2', 'k2')) = 14.5
D(m10, t=1, ('l2', 'k3')) = 8.4
D(m10, t=1, ('l2', 'k4')) = 11.8
D(m10, t=1, ('l2', 'k5')) = 12.3
D(m10, t=2, ('l1', 'k1')) = 8.9
D(m10, t=2, ('l1', 'k2')) = 10.3
D(m10, t=2, ('l1', 'k3')) = 6.1
D(m10, t=2, ('l1', 'k4')) = 9.5
D(m10, t=2, ('l1', 'k5')) = 5.5
D(m10, t=2, ('l2', 'k1')) = 9.0
D(m10, t=2, ('l2', 'k2')) = 14.1
D(m10, t=2, ('l2', 'k3')) = 9.5
D(m10, t=2, ('l2', 'k4')) = 5.7
D(m10, t=2, ('l2', 'k5')) = 15.0

Iteration 1: Solving Master...
Master LB: 0.00
Fixed y: {}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 1168905.11, Total UB: 1168905.11
Added optimality cut: opt_cut_1

Iteration 2: Solving Master...
Master LB: 902715.11
Fixed y: {'m1': 1.0, 'm2': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901278.53, Total UB: 904278.53
Added optimality cut: opt_cut_2

Iteration 3: Solving Master...
Master LB: 902715.11
Fixed y: {'m3': 1.0, 'm4': 1.0, 'm5': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901259.62, Total UB: 904259.62
Added optimality cut: opt_cut_3

Iteration 4: Solving Master...
Master LB: 902715.11
Fixed y: {'m6': 1.0, 'm7': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901244.98, Total UB: 904244.98
Added optimality cut: opt_cut_4

Iteration 5: Solving Master...
Master LB: 903059.62
Fixed y: {'m5': 1.0, 'm8': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901230.20, Total UB: 904230.20
Added optimality cut: opt_cut_5

Iteration 6: Solving Master...
Master LB: 903080.20
Fixed y: {'m2': 1.0, 'm3': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901266.67, Total UB: 904230.20
Added optimality cut: opt_cut_6

Iteration 7: Solving Master...
Master LB: 903080.20
Fixed y: {'m1': 1.0, 'm4': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901253.76, Total UB: 904230.20
Added optimality cut: opt_cut_7

Iteration 8: Solving Master...
Master LB: 903144.98
Fixed y: {'m6': 1.0, 'm9': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901255.37, Total UB: 904230.20
Added optimality cut: opt_cut_8

Iteration 9: Solving Master...
Master LB: 903153.76
Fixed y: {'m1': 1.0, 'm7': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901258.17, Total UB: 904230.20
Added optimality cut: opt_cut_9

Iteration 10: Solving Master...
Master LB: 903153.76
Fixed y: {'m4': 1.0, 'm7': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901262.95, Total UB: 904230.20
Added optimality cut: opt_cut_10

Iteration 11: Solving Master...
Master LB: 903166.67
Fixed y: {'m2': 1.0, 'm4': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901278.04, Total UB: 904230.20
Added optimality cut: opt_cut_11

Iteration 12: Solving Master...
Master LB: 903166.67
Fixed y: {'m1': 1.0, 'm3': 1.0, 'm6': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901269.16, Total UB: 904230.20
Added optimality cut: opt_cut_12

Iteration 13: Solving Master...
Master LB: 903180.20
Fixed y: {'m2': 1.0, 'm5': 1.0, 'm6': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901266.94, Total UB: 904230.20
Added optimality cut: opt_cut_13

Iteration 14: Solving Master...
Master LB: 903653.76
Fixed y: {'m4': 1.0, 'm6': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901251.42, Total UB: 904230.20
Added optimality cut: opt_cut_14

Iteration 15: Solving Master...
Master LB: 903655.37
Fixed y: {'m3': 1.0, 'm9': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901259.33, Total UB: 904230.20
Added optimality cut: opt_cut_15

Iteration 16: Solving Master...
Master LB: 903655.37
Fixed y: {'m6': 1.0, 'm8': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901241.88, Total UB: 904230.20
Added optimality cut: opt_cut_16

Iteration 17: Solving Master...
Master LB: 903658.17
Fixed y: {'m7': 1.0, 'm8': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901239.92, Total UB: 904230.20
Added optimality cut: opt_cut_17

Iteration 18: Solving Master...
Master LB: 903658.17
Fixed y: {'m1': 1.0, 'm8': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901244.22, Total UB: 904230.20
Added optimality cut: opt_cut_18

Iteration 19: Solving Master...
Master LB: 903659.33
Fixed y: {'m8': 1.0, 'm9': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901239.45, Total UB: 904230.20
Added optimality cut: opt_cut_19

Iteration 20: Solving Master...
Master LB: 903659.62
Fixed y: {'m3': 1.0, 'm5': 1.0, 'm7': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901253.17, Total UB: 904230.20
Added optimality cut: opt_cut_20

Iteration 21: Solving Master...
Master LB: 903662.95
Fixed y: {'m5': 1.0, 'm7': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901246.78, Total UB: 904230.20
Added optimality cut: opt_cut_21

Iteration 22: Solving Master...
Master LB: 903662.95
Fixed y: {'m4': 1.0, 'm5': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901253.23, Total UB: 904230.20
Added optimality cut: opt_cut_22

Iteration 23: Solving Master...
Master LB: 903662.95
Fixed y: {'m3': 1.0, 'm4': 1.0, 'm7': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901269.34, Total UB: 904230.20
Added optimality cut: opt_cut_23

Iteration 24: Solving Master...
Master LB: 903666.67
Fixed y: {'m3': 1.0, 'm8': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901245.84, Total UB: 904230.20
Added optimality cut: opt_cut_24

Iteration 25: Solving Master...
Master LB: 903666.94
Fixed y: {'m2': 1.0, 'm5': 1.0, 'm7': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901264.97, Total UB: 904230.20
Added optimality cut: opt_cut_25

Iteration 26: Solving Master...
Master LB: 903669.16
Fixed y: {'m1': 1.0, 'm5': 1.0, 'm6': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901253.51, Total UB: 904230.20
Added optimality cut: opt_cut_26

Iteration 27: Solving Master...
Master LB: 903669.16
Fixed y: {'m3': 1.0, 'm5': 1.0, 'm6': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901255.14, Total UB: 904230.20
Added optimality cut: opt_cut_27

Iteration 28: Solving Master...
Master LB: 903669.16
Fixed y: {'m1': 1.0, 'm3': 1.0, 'm5': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901257.48, Total UB: 904230.20
Added optimality cut: opt_cut_28

Iteration 29: Solving Master...
Master LB: 903669.34
Fixed y: {'m4': 1.0, 'm5': 1.0, 'm7': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901253.69, Total UB: 904230.20
Added optimality cut: opt_cut_29

Iteration 30: Solving Master...
Master LB: 903678.04
Fixed y: {'m2': 1.0, 'm8': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901257.64, Total UB: 904230.20
Added optimality cut: opt_cut_30

Iteration 31: Solving Master...
Master LB: 903678.04
Fixed y: {'m4': 1.0, 'm8': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901246.36, Total UB: 904230.20
Added optimality cut: opt_cut_31

Iteration 32: Solving Master...
Master LB: 903678.53
Fixed y: {'m1': 1.0, 'm2': 1.0, 'm6': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901280.96, Total UB: 904230.20
Added optimality cut: opt_cut_32

Iteration 33: Solving Master...
Master LB: 903678.53
Fixed y: {'m2': 1.0, 'm7': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901274.23, Total UB: 904230.20
Added optimality cut: opt_cut_33

Iteration 34: Solving Master...
Master LB: 903678.53
Fixed y: {'m1': 1.0, 'm5': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901251.09, Total UB: 904230.20
Added optimality cut: opt_cut_34

Iteration 35: Solving Master...
Master LB: 903678.53
Fixed y: {'m2': 1.0, 'm5': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901264.51, Total UB: 904230.20
Added optimality cut: opt_cut_35

Iteration 36: Solving Master...
Master LB: 903680.96
Fixed y: {'m1': 1.0, 'm2': 1.0, 'm5': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901269.28, Total UB: 904230.20
Added optimality cut: opt_cut_36

Iteration 37: Solving Master...
Master LB: 903689.45
Fixed y: {'m5': 1.0, 'm8': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901232.83, Total UB: 904230.20
Added optimality cut: opt_cut_37

Iteration 38: Solving Master...
Master LB: 903689.92
Fixed y: {'m7': 1.0, 'm8': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901242.55, Total UB: 904230.20
Added optimality cut: opt_cut_38

Iteration 39: Solving Master...
Master LB: 903689.92
Fixed y: {'m5': 1.0, 'm7': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901233.29, Total UB: 904230.20
Added optimality cut: opt_cut_39

Iteration 40: Solving Master...
Master LB: 903691.88
Fixed y: {'m5': 1.0, 'm6': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901235.26, Total UB: 904230.20
Added optimality cut: opt_cut_40

Iteration 41: Solving Master...
Master LB: 903694.22
Fixed y: {'m1': 1.0, 'm5': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901237.60, Total UB: 904230.20
Added optimality cut: opt_cut_41

Iteration 42: Solving Master...
Master LB: 903694.22
Fixed y: {'m1': 1.0, 'm6': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901249.28, Total UB: 904230.20
Added optimality cut: opt_cut_42

Iteration 43: Solving Master...
Master LB: 903694.22
Fixed y: {'m1': 1.0, 'm8': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901246.85, Total UB: 904230.20
Added optimality cut: opt_cut_43

Iteration 44: Solving Master...
Master LB: 903695.84
Fixed y: {'m3': 1.0, 'm6': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901250.91, Total UB: 904230.20
Added optimality cut: opt_cut_44

Iteration 45: Solving Master...
Master LB: 903695.84
Fixed y: {'m3': 1.0, 'm5': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901239.22, Total UB: 904230.20
Added optimality cut: opt_cut_45

Iteration 46: Solving Master...
Master LB: 903695.84
Fixed y: {'m1': 1.0, 'm3': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901253.24, Total UB: 904230.20
Added optimality cut: opt_cut_46

Iteration 47: Solving Master...
Master LB: 903695.84
Fixed y: {'m3': 1.0, 'm7': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901248.94, Total UB: 904230.20
Added optimality cut: opt_cut_47

Iteration 48: Solving Master...
Master LB: 903696.36
Fixed y: {'m4': 1.0, 'm7': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901249.46, Total UB: 904230.20
Added optimality cut: opt_cut_48

Iteration 49: Solving Master...
Master LB: 903696.36
Fixed y: {'m4': 1.0, 'm8': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901249.00, Total UB: 904230.20
Added optimality cut: opt_cut_49

Iteration 50: Solving Master...
Master LB: 903696.36
Fixed y: {'m4': 1.0, 'm5': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901239.74, Total UB: 904230.20
Added optimality cut: opt_cut_50

Iteration 51: Solving Master...
Master LB: 903696.36
Fixed y: {'m3': 1.0, 'm4': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901255.38, Total UB: 904230.20
Added optimality cut: opt_cut_51

Iteration 52: Solving Master...
Master LB: 903705.37
Fixed y: {'m6': 1.0, 'm8': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901244.52, Total UB: 904230.20
Added optimality cut: opt_cut_52

Iteration 53: Solving Master...
Master LB: 903707.64
Fixed y: {'m2': 1.0, 'm5': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901251.02, Total UB: 904230.20
Added optimality cut: opt_cut_53

Iteration 54: Solving Master...
Master LB: 903707.64
Fixed y: {'m2': 1.0, 'm8': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901260.28, Total UB: 904230.20
Added optimality cut: opt_cut_54

Iteration 55: Solving Master...
Master LB: 903707.64
Fixed y: {'m2': 1.0, 'm6': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901262.71, Total UB: 904230.20
Added optimality cut: opt_cut_55

Iteration 56: Solving Master...
Master LB: 903707.64
Fixed y: {'m2': 1.0, 'm7': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901260.74, Total UB: 904230.20
Added optimality cut: opt_cut_56

Iteration 57: Solving Master...
Master LB: 903707.64
Fixed y: {'m1': 1.0, 'm2': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901265.05, Total UB: 904230.20
Added optimality cut: opt_cut_57

Iteration 58: Solving Master...
Master LB: 903708.17
Fixed y: {'m1': 1.0, 'm7': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901247.32, Total UB: 904230.20
Added optimality cut: opt_cut_58

Iteration 59: Solving Master...
Master LB: 903709.33
Fixed y: {'m3': 1.0, 'm8': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901248.48, Total UB: 904230.20
Added optimality cut: opt_cut_59

Iteration 60: Solving Master...
Master LB: 903728.04
Fixed y: {'m2': 1.0, 'm4': 1.0, 'm8': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901267.19, Total UB: 904230.20
Added optimality cut: opt_cut_60

Iteration 61: Solving Master...
Master LB: 903739.45
Fixed y: {'m5': 1.0, 'm9': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901243.69, Total UB: 904230.20
Added optimality cut: opt_cut_61

Iteration 62: Solving Master...
Master LB: 903739.92
Fixed y: {'m5': 1.0, 'm7': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901244.15, Total UB: 904230.20
Added optimality cut: opt_cut_62

Iteration 63: Solving Master...
Master LB: 903741.88
Fixed y: {'m5': 1.0, 'm6': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901246.12, Total UB: 904230.20
Added optimality cut: opt_cut_63

Iteration 64: Solving Master...
Master LB: 903742.55
Fixed y: {'m7': 1.0, 'm9': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901253.41, Total UB: 904230.20
Added optimality cut: opt_cut_64

Iteration 65: Solving Master...
Master LB: 903744.22
Fixed y: {'m1': 1.0, 'm5': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901248.45, Total UB: 904230.20
Added optimality cut: opt_cut_65

Iteration 66: Solving Master...
Master LB: 903744.52
Fixed y: {'m5': 1.0, 'm6': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901248.75, Total UB: 904230.20
Added optimality cut: opt_cut_66

Iteration 67: Solving Master...
Master LB: 903744.98
Fixed y: {'m6': 1.0, 'm7': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901258.47, Total UB: 904230.20
Added optimality cut: opt_cut_67

Iteration 68: Solving Master...
Master LB: 903744.98
Fixed y: {'m5': 1.0, 'm6': 1.0, 'm7': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901249.21, Total UB: 904230.20
Added optimality cut: opt_cut_68

Iteration 69: Solving Master...
Master LB: 903744.98
Fixed y: {'m6': 1.0, 'm7': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901255.83, Total UB: 904230.20
Added optimality cut: opt_cut_69

Iteration 70: Solving Master...
Master LB: 903745.84
Fixed y: {'m3': 1.0, 'm5': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 901250.08, Total UB: 904230.20
Added optimality cut: opt_cut_70

Iteration 71: Solving Master...
Master LB: 903746.36
Fixed y: {'m4': 1.0, 'm5': 1.0, 'm9': 1.0}
Solving Subproblem...
Sub Status: Optimal
