Random seed set to: 456

Demands:
D(m1, t=1, ('l1', 'k1')) = 7.5
D(m6, t=2, ('l2', 'k5')) = 8.2
D(m7, t=1, ('l1', 'k1')) = 9.2
D(m7, t=1, ('l1', 'k2')) = 10.7
D(m7, t=1, ('l1', 'k3')) = 12.0
D(m7, t=1, ('l1', 'k4')) = 5.3
D(m7, t=1, ('l1', 'k5')) = 5.1
D(m7, t=1, ('l2', 'k1')) = 12.5
D(m7, t=1, ('l2', 'k2')) = 14.7
D(m7, t=1, ('l2', 'k3')) = 7.9
D(m7, t=1, ('l2', 'k4')) = 14.4
D(m7, t=1, ('l2', 'k5')) = 10.9
D(m7, t=2, ('l1', 'k1')) = 6.4
D(m7, t=2, ('l1', 'k2')) = 5.9
D(m7, t=2, ('l1', 'k3')) = 11.3
D(m7, t=2, ('l1', 'k4')) = 10.0
D(m7, t=2, ('l1', 'k5')) = 10.2
D(m7, t=2, ('l2', 'k1')) = 11.3
D(m7, t=2, ('l2', 'k2')) = 7.3
D(m7, t=2, ('l2', 'k3')) = 7.6
D(m7, t=2, ('l2', 'k4')) = 10.6
D(m7, t=2, ('l2', 'k5')) = 8.9
D(m8, t=1, ('l1', 'k1')) = 12.1
D(m8, t=1, ('l1', 'k2')) = 7.1
D(m8, t=1, ('l1', 'k3')) = 7.9
D(m8, t=1, ('l1', 'k4')) = 13.5
D(m8, t=1, ('l1', 'k5')) = 9.6
D(m8, t=1, ('l2', 'k1')) = 5.7
D(m8, t=1, ('l2', 'k2')) = 13.6
D(m8, t=1, ('l2', 'k3')) = 9.2
D(m8, t=1, ('l2', 'k4')) = 10.2
D(m8, t=1, ('l2', 'k5')) = 11.5
D(m8, t=2, ('l1', 'k1')) = 8.7
D(m8, t=2, ('l1', 'k2')) = 14.9
D(m8, t=2, ('l1', 'k3')) = 7.8
D(m8, t=2, ('l1', 'k4')) = 11.8
D(m8, t=2, ('l1', 'k5')) = 10.5
D(m8, t=2, ('l2', 'k1')) = 10.3
D(m8, t=2, ('l2', 'k2')) = 5.1
D(m8, t=2, ('l2', 'k3')) = 12.6
D(m8, t=2, ('l2', 'k4')) = 7.0
D(m8, t=2, ('l2', 'k5')) = 12.4
D(m9, t=1, ('l1', 'k1')) = 6.1
D(m9, t=1, ('l1', 'k2')) = 9.5
D(m9, t=1, ('l1', 'k3')) = 7.8
D(m9, t=1, ('l1', 'k4')) = 7.1
D(m9, t=1, ('l1', 'k5')) = 8.7
D(m9, t=1, ('l2', 'k1')) = 13.0
D(m9, t=1, ('l2', 'k2')) = 5.9
D(m9, t=1, ('l2', 'k3')) = 11.6
D(m9, t=1, ('l2', 'k4')) = 7.2
D(m9, t=1, ('l2', 'k5')) = 9.6
D(m9, t=2, ('l1', 'k1')) = 11.2
D(m9, t=2, ('l1', 'k2')) = 6.6
D(m9, t=2, ('l1', 'k3')) = 14.3
D(m9, t=2, ('l1', 'k4')) = 11.5
D(m9, t=2, ('l1', 'k5')) = 10.6
D(m9, t=2, ('l2', 'k1')) = 10.4
D(m9, t=2, ('l2', 'k2')) = 12.4
D(m9, t=2, ('l2', 'k3')) = 14.4
D(m9, t=2, ('l2', 'k4')) = 7.7
D(m9, t=2, ('l2', 'k5')) = 5.5
D(m10, t=1, ('l1', 'k1')) = 6.7
D(m10, t=1, ('l1', 'k2')) = 9.9
D(m10, t=1, ('l1', 'k3')) = 12.1
D(m10, t=1, ('l1', 'k4')) = 10.2
D(m10, t=1, ('l1', 'k5')) = 7.2
D(m10, t=1, ('l2', 'k1')) = 7.3
D(m10, t=1, ('l2', 'k2')) = 14.5
D(m10, t=1, ('l2', 'k3')) = 8.4
D(m10, t=1, ('l2', 'k4')) = 11.8
D(m10, t=1, ('l2', 'k5')) = 12.3
D(m10, t=2, ('l1', 'k1')) = 8.9
D(m10, t=2, ('l1', 'k2')) = 10.3
D(m10, t=2, ('l1', 'k3')) = 6.1
D(m10, t=2, ('l1', 'k4')) = 9.5
D(m10, t=2, ('l1', 'k5')) = 5.5
D(m10, t=2, ('l2', 'k1')) = 9.0
D(m10, t=2, ('l2', 'k2')) = 14.1
D(m10, t=2, ('l2', 'k3')) = 9.5
D(m10, t=2, ('l2', 'k4')) = 5.7
D(m10, t=2, ('l2', 'k5')) = 15.0

Iteration 1: Solving Master...
Master LB: 0.00
Fixed y: {}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 1168905.11, Total UB: 1168905.11
Added optimality cut: opt_cut_1

Iteration 2: Solving Master...
Master LB: 281605.11
Fixed y: {'m1': 1.0, 'm2': 1.0, 'm3': 1.0, 'm4': 1.0, 'm5': 1.0, 'm6': 1.0, 'm7': 1.0, 'm8': 1.0, 'm9': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 352072.35, Total UB: 362072.35
Added optimality cut: opt_cut_2

Iteration 3: Solving Master...
Master LB: 362072.35
Fixed y: {'m1': 1.0, 'm2': 1.0, 'm3': 1.0, 'm4': 1.0, 'm5': 1.0, 'm6': 1.0, 'm7': 1.0, 'm8': 1.0, 'm9': 1.0, 'm10': 1.0}
Solving Subproblem...
Sub Status: Optimal
Sub Cost: 352072.35, Total UB: 362072.35
Added optimality cut: opt_cut_3

Converged after 3 iterations. Final UB: 362072.3489521835
Objective Value: 362072.3489521835

CSAM Deployments:
y[m1, 'l1'] = 1
y[m2, 'l1'] = 1
y[m3, 'l1'] = 1
y[m4, 'l1'] = 1
y[m5, 'l1'] = 1
y[m6, 'l1'] = 1
y[m7, 'l1'] = 1
y[m8, 'l1'] = 1
y[m9, 'l1'] = 1
y[m10, 'l1'] = 1

Positive CSAM l1 flows (q_l1 to r_l1):
Arc (m1_q_l1 -> m1_r_l1), t=1, commodity=('l1', 'k1'): flow=7.5
Arc (m1_q_l1 -> m1_r_l1), t=1, commodity=('l1', 'k2'): flow=6.6
Arc (m1_q_l1 -> m1_r_l1), t=1, commodity=('l1', 'k3'): flow=12.8
Arc (m1_q_l1 -> m1_r_l1), t=1, commodity=('l1', 'k4'): flow=13.1
Arc (m1_q_l1 -> m1_r_l1), t=1, commodity=('l1', 'k5'): flow=10.0
Arc (m1_q_l1 -> m1_r_l1), t=2, commodity=('l1', 'k1'): flow=10.4
Arc (m1_q_l1 -> m1_r_l1), t=2, commodity=('l1', 'k2'): flow=8.9
Arc (m1_q_l1 -> m1_r_l1), t=2, commodity=('l1', 'k3'): flow=10.8
Arc (m1_q_l1 -> m1_r_l1), t=2, commodity=('l1', 'k4'): flow=6.5
Arc (m1_q_l1 -> m1_r_l1), t=2, commodity=('l1', 'k5'): flow=11.9
Arc (m2_q_l1 -> m2_r_l1), t=1, commodity=('l1', 'k1'): flow=6.8
Arc (m2_q_l1 -> m2_r_l1), t=1, commodity=('l1', 'k2'): flow=6.2
Arc (m2_q_l1 -> m2_r_l1), t=1, commodity=('l1', 'k3'): flow=7.4
Arc (m2_q_l1 -> m2_r_l1), t=1, commodity=('l1', 'k4'): flow=5.1
Arc (m2_q_l1 -> m2_r_l1), t=1, commodity=('l1', 'k5'): flow=8.6
Arc (m2_q_l1 -> m2_r_l1), t=2, commodity=('l1', 'k1'): flow=7.1
Arc (m2_q_l1 -> m2_r_l1), t=2, commodity=('l1', 'k2'): flow=14.7
Arc (m2_q_l1 -> m2_r_l1), t=2, commodity=('l1', 'k3'): flow=13.6
Arc (m2_q_l1 -> m2_r_l1), t=2, commodity=('l1', 'k4'): flow=5.2
Arc (m2_q_l1 -> m2_r_l1), t=2, commodity=('l1', 'k5'): flow=9.3
Arc (m3_q_l1 -> m3_r_l1), t=1, commodity=('l1', 'k1'): flow=8.3
Arc (m3_q_l1 -> m3_r_l1), t=1, commodity=('l1', 'k2'): flow=14.4
Arc (m3_q_l1 -> m3_r_l1), t=1, commodity=('l1', 'k3'): flow=6.5
Arc (m3_q_l1 -> m3_r_l1), t=1, commodity=('l1', 'k4'): flow=14.0
Arc (m3_q_l1 -> m3_r_l1), t=1, commodity=('l1', 'k5'): flow=6.8
Arc (m3_q_l1 -> m3_r_l1), t=2, commodity=('l1', 'k1'): flow=5.1
Arc (m3_q_l1 -> m3_r_l1), t=2, commodity=('l1', 'k2'): flow=9.8
Arc (m3_q_l1 -> m3_r_l1), t=2, commodity=('l1', 'k3'): flow=6.0
Arc (m3_q_l1 -> m3_r_l1), t=2, commodity=('l1', 'k4'): flow=6.3
Arc (m3_q_l1 -> m3_r_l1), t=2, commodity=('l1', 'k5'): flow=13.2
Arc (m4_q_l1 -> m4_r_l1), t=1, commodity=('l1', 'k1'): flow=10.2
Arc (m4_q_l1 -> m4_r_l1), t=1, commodity=('l1', 'k2'): flow=6.2
Arc (m4_q_l1 -> m4_r_l1), t=1, commodity=('l1', 'k3'): flow=8.3
Arc (m4_q_l1 -> m4_r_l1), t=1, commodity=('l1', 'k4'): flow=7.7
Arc (m4_q_l1 -> m4_r_l1), t=1, commodity=('l1', 'k5'): flow=15.0
Arc (m4_q_l1 -> m4_r_l1), t=2, commodity=('l1', 'k1'): flow=11.1
Arc (m4_q_l1 -> m4_r_l1), t=2, commodity=('l1', 'k2'): flow=12.0
Arc (m4_q_l1 -> m4_r_l1), t=2, commodity=('l1', 'k3'): flow=12.1
Arc (m4_q_l1 -> m4_r_l1), t=2, commodity=('l1', 'k4'): flow=5.9
Arc (m4_q_l1 -> m4_r_l1), t=2, commodity=('l1', 'k5'): flow=8.8
Arc (m5_q_l1 -> m5_r_l1), t=1, commodity=('l1', 'k1'): flow=12.2
Arc (m5_q_l1 -> m5_r_l1), t=1, commodity=('l1', 'k2'): flow=9.8
Arc (m5_q_l1 -> m5_r_l1), t=1, commodity=('l1', 'k3'): flow=9.5
Arc (m5_q_l1 -> m5_r_l1), t=1, commodity=('l1', 'k4'): flow=12.6
Arc (m5_q_l1 -> m5_r_l1), t=1, commodity=('l1', 'k5'): flow=5.9
Arc (m5_q_l1 -> m5_r_l1), t=2, commodity=('l1', 'k1'): flow=11.9
Arc (m5_q_l1 -> m5_r_l1), t=2, commodity=('l1', 'k2'): flow=10.5
Arc (m5_q_l1 -> m5_r_l1), t=2, commodity=('l1', 'k3'): flow=13.7
Arc (m5_q_l1 -> m5_r_l1), t=2, commodity=('l1', 'k4'): flow=8.2
Arc (m5_q_l1 -> m5_r_l1), t=2, commodity=('l1', 'k5'): flow=5.7
Arc (m6_q_l1 -> m6_r_l1), t=1, commodity=('l1', 'k1'): flow=5.3
Arc (m6_q_l1 -> m6_r_l1), t=1, commodity=('l1', 'k2'): flow=11.4
Arc (m6_q_l1 -> m6_r_l1), t=1, commodity=('l1', 'k3'): flow=19.1
Arc (m6_q_l1 -> m6_r_l1), t=1, commodity=('l1', 'k4'): flow=6.7
Arc (m6_q_l1 -> m6_r_l1), t=1, commodity=('l1', 'k5'): flow=7.3
Arc (m6_q_l1 -> m6_r_l1), t=2, commodity=('l1', 'k1'): flow=6.5
Arc (m6_q_l1 -> m6_r_l1), t=2, commodity=('l1', 'k2'): flow=13.8
Arc (m6_q_l1 -> m6_r_l1), t=2, commodity=('l1', 'k3'): flow=5.4
Arc (m6_q_l1 -> m6_r_l1), t=2, commodity=('l1', 'k4'): flow=6.1
Arc (m6_q_l1 -> m6_r_l1), t=2, commodity=('l1', 'k5'): flow=7.9
Arc (m7_q_l1 -> m7_r_l1), t=1, commodity=('l1', 'k1'): flow=9.2
Arc (m7_q_l1 -> m7_r_l1), t=1, commodity=('l1', 'k2'): flow=10.7
Arc (m7_q_l1 -> m7_r_l1), t=1, commodity=('l1', 'k3'): flow=12.0
Arc (m7_q_l1 -> m7_r_l1), t=1, commodity=('l1', 'k4'): flow=5.3
Arc (m7_q_l1 -> m7_r_l1), t=1, commodity=('l1', 'k5'): flow=5.1
Arc (m7_q_l1 -> m7_r_l1), t=2, commodity=('l1', 'k1'): flow=7.6
Arc (m7_q_l1 -> m7_r_l1), t=2, commodity=('l1', 'k2'): flow=5.9
Arc (m7_q_l1 -> m7_r_l1), t=2, commodity=('l1', 'k3'): flow=11.3
Arc (m7_q_l1 -> m7_r_l1), t=2, commodity=('l1', 'k4'): flow=10.0
Arc (m7_q_l1 -> m7_r_l1), t=2, commodity=('l1', 'k5'): flow=10.2
Arc (m8_q_l1 -> m8_r_l1), t=1, commodity=('l1', 'k1'): flow=11.9
Arc (m8_q_l1 -> m8_r_l1), t=1, commodity=('l1', 'k2'): flow=7.1
Arc (m8_q_l1 -> m8_r_l1), t=1, commodity=('l1', 'k3'): flow=7.9
Arc (m8_q_l1 -> m8_r_l1), t=1, commodity=('l1', 'k4'): flow=13.5
Arc (m8_q_l1 -> m8_r_l1), t=1, commodity=('l1', 'k5'): flow=9.6
Arc (m8_q_l1 -> m8_r_l1), t=2, commodity=('l1', 'k1'): flow=8.7
Arc (m8_q_l1 -> m8_r_l1), t=2, commodity=('l1', 'k2'): flow=14.9
Arc (m8_q_l1 -> m8_r_l1), t=2, commodity=('l1', 'k3'): flow=7.8
Arc (m8_q_l1 -> m8_r_l1), t=2, commodity=('l1', 'k4'): flow=8.2
Arc (m8_q_l1 -> m8_r_l1), t=2, commodity=('l1', 'k5'): flow=10.5
Arc (m9_q_l1 -> m9_r_l1), t=1, commodity=('l1', 'k1'): flow=8.6
Arc (m9_q_l1 -> m9_r_l1), t=1, commodity=('l1', 'k2'): flow=9.5
Arc (m9_q_l1 -> m9_r_l1), t=1, commodity=('l1', 'k3'): flow=7.8
Arc (m9_q_l1 -> m9_r_l1), t=1, commodity=('l1', 'k4'): flow=7.1
Arc (m9_q_l1 -> m9_r_l1), t=1, commodity=('l1', 'k5'): flow=8.7
Arc (m9_q_l1 -> m9_r_l1), t=2, commodity=('l1', 'k1'): flow=9.9
Arc (m9_q_l1 -> m9_r_l1), t=2, commodity=('l1', 'k2'): flow=3.6
Arc (m9_q_l1 -> m9_r_l1), t=2, commodity=('l1', 'k3'): flow=14.3
Arc (m9_q_l1 -> m9_r_l1), t=2, commodity=('l1', 'k4'): flow=11.5
Arc (m9_q_l1 -> m9_r_l1), t=2, commodity=('l1', 'k5'): flow=10.6
Arc (m10_q_l1 -> m10_r_l1), t=1, commodity=('l1', 'k1'): flow=6.7
Arc (m10_q_l1 -> m10_r_l1), t=1, commodity=('l1', 'k2'): flow=9.9
Arc (m10_q_l1 -> m10_r_l1), t=1, commodity=('l1', 'k3'): flow=12.1
Arc (m10_q_l1 -> m10_r_l1), t=1, commodity=('l1', 'k4'): flow=10.2
Arc (m10_q_l1 -> m10_r_l1), t=1, commodity=('l1', 'k5'): flow=7.2
Arc (m10_q_l1 -> m10_r_l1), t=2, commodity=('l1', 'k1'): flow=8.9
Arc (m10_q_l1 -> m10_r_l1), t=2, commodity=('l1', 'k2'): flow=10.3
Arc (m10_q_l1 -> m10_r_l1), t=2, commodity=('l1', 'k3'): flow=6.1
Arc (m10_q_l1 -> m10_r_l1), t=2, commodity=('l1', 'k4'): flow=19.2
Arc (m10_q_l1 -> m10_r_l1), t=2, commodity=('l1', 'k5'): flow=5.5
